cve,snyk link,scantist link,Completed,Unsure flag,Comment
CVE-2021-22097,https://security.snyk.io/search?type=any&q=CVE-2021-22097,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-22097,TRUE,FALSE,
CVE-2021-22096,https://security.snyk.io/search?type=any&q=CVE-2021-22096,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-22096,TRUE,FALSE,snyk mappings range is more than the developer notes
CVE-2021-21409,https://security.snyk.io/search?type=any&q=CVE-2021-21409,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21409,TRUE,FALSE,
CVE-2021-21351,https://security.snyk.io/search?type=any&q=CVE-2021-21351,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21351,TRUE,FALSE,
CVE-2021-21350,https://security.snyk.io/search?type=any&q=CVE-2021-21350,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21350,TRUE,FALSE,
CVE-2021-21349,https://security.snyk.io/search?type=any&q=CVE-2021-21349,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21349,TRUE,FALSE,
CVE-2021-21348,https://security.snyk.io/search?type=any&q=CVE-2021-21348,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21348,TRUE,FALSE,
CVE-2021-21347,https://security.snyk.io/search?type=any&q=CVE-2021-21347,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21347,TRUE,FALSE,
CVE-2021-21346,https://security.snyk.io/search?type=any&q=CVE-2021-21346,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21346,TRUE,FALSE,
CVE-2021-21345,https://security.snyk.io/search?type=any&q=CVE-2021-21345,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21345,TRUE,FALSE,
CVE-2021-21344,https://security.snyk.io/search?type=any&q=CVE-2021-21344,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21344,TRUE,FALSE,
CVE-2021-21343,https://security.snyk.io/search?type=any&q=CVE-2021-21343,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21343,TRUE,FALSE,
CVE-2021-21342,https://security.snyk.io/search?type=any&q=CVE-2021-21342,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21342,TRUE,FALSE,
CVE-2021-21341,https://security.snyk.io/search?type=any&q=CVE-2021-21341,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21341,TRUE,FALSE,
CVE-2021-21295,https://security.snyk.io/search?type=any&q=CVE-2021-21295,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21295,TRUE,FALSE,
CVE-2021-21290,https://security.snyk.io/search?type=any&q=CVE-2021-21290,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-21290,TRUE,FALSE,
CVE-2021-20328,https://security.snyk.io/search?type=any&q=CVE-2021-20328,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-20328,TRUE,FALSE,
CVE-2021-20220,https://security.snyk.io/search?type=any&q=CVE-2021-20220,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-20220,TRUE,FALSE,
CVE-2021-20190,https://security.snyk.io/search?type=any&q=CVE-2021-20190,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-20190,TRUE,FALSE,
CVE-2020-9548,https://security.snyk.io/search?type=any&q=CVE-2020-9548,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-9548,TRUE,FALSE,
CVE-2020-9547,https://security.snyk.io/search?type=any&q=CVE-2020-9547,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-9547,TRUE,FALSE,
CVE-2020-9546,https://security.snyk.io/search?type=any&q=CVE-2020-9546,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-9546,TRUE,FALSE,
CVE-2020-9484,https://security.snyk.io/search?type=any&q=CVE-2020-9484,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-9484,TRUE,FALSE,
CVE-2020-8908,https://security.snyk.io/search?type=any&q=CVE-2020-8908,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-8908,TRUE,FALSE,
CVE-2020-8840,https://security.snyk.io/search?type=any&q=CVE-2020-8840,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-8840,TRUE,FALSE,
CVE-2020-7656,https://security.snyk.io/search?type=any&q=CVE-2020-7656,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-7656,TRUE,FALSE,
CVE-2020-7238,https://security.snyk.io/search?type=any&q=CVE-2020-7238,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-7238,TRUE,FALSE,
